synaptic_scale,threshold,odor_channel,stimulus_side,dn_type,left_spikes,right_spikes,ipsilateral_rate,contralateral_rate,lateral_selectivity,total_population_spikes,peak_population_fraction,late_spike_fraction
0.002,0.8,ORN_DM1,L,DNa01,0,0,0.0,0.0,0.0,24103,0.0029977834570802196,0.5580218230095839
0.002,0.8,ORN_DM1,L,DNa02,0,0,0.0,0.0,0.0,24103,0.0029977834570802196,0.5580218230095839
0.002,0.8,ORN_DM1,L,DNg13,0,0,0.0,0.0,0.0,24103,0.0029977834570802196,0.5580218230095839
0.002,0.8,ORN_DM1,R,DNa01,0,0,0.0,0.0,0.0,23329,0.0021317571250348225,0.5471730464229071
0.002,0.8,ORN_DM1,R,DNa02,0,0,0.0,0.0,0.0,23329,0.0021317571250348225,0.5471730464229071
0.002,0.8,ORN_DM1,R,DNg13,0,0,0.0,0.0,0.0,23329,0.0021317571250348225,0.5471730464229071
0.002,0.8,ORN_VA2,L,DNa01,0,0,0.0,0.0,0.0,229,0.0002725257688254745,0.0
0.002,0.8,ORN_VA2,L,DNa02,0,0,0.0,0.0,0.0,229,0.0002725257688254745,0.0
0.002,0.8,ORN_VA2,L,DNg13,0,0,0.0,0.0,0.0,229,0.0002725257688254745,0.0
0.002,0.8,ORN_VA2,R,DNa01,0,0,0.0,0.0,0.0,284,0.00030886253800220444,0.0
0.002,0.8,ORN_VA2,R,DNa02,0,0,0.0,0.0,0.0,284,0.00030886253800220444,0.0
0.002,0.8,ORN_VA2,R,DNg13,0,0,0.0,0.0,0.0,284,0.00030886253800220444,0.0
0.002,1.0,ORN_DM1,L,DNa01,0,0,0.0,0.0,0.0,18109,0.0016654352539334553,0.5629797338340052
0.002,1.0,ORN_DM1,L,DNa02,0,0,0.0,0.0,0.0,18109,0.0016654352539334553,0.5629797338340052
0.002,1.0,ORN_DM1,L,DNg13,0,0,0.0,0.0,0.0,18109,0.0016654352539334553,0.5629797338340052
0.002,1.0,ORN_DM1,R,DNa01,0,0,0.0,0.0,0.0,17435,0.001738108792286915,0.568626326355033
0.002,1.0,ORN_DM1,R,DNa02,0,0,0.0,0.0,0.0,17435,0.001738108792286915,0.568626326355033
0.002,1.0,ORN_DM1,R,DNg13,0,0,0.0,0.0,0.0,17435,0.001738108792286915,0.568626326355033
